Drug_ID,Protein_ID
DB11590,213
DB11637,213
DB11641,213
DB11642,213
DB11677,213
DB11689,213
DB11703,213
DB11753,213
DB11757,213
DB11796,213
DB11820,213
DB11827,213
DB11828,213
DB11853,213
DB11855,213
DB11943,213
DB11963,213
DB11978,213
DB12001,213
DB12141,213
DB12404,213
DB12455,213
DB12466,213
DB12483,213
DB12674,213
DB12836,213
DB12941,213
DB12978,213
DB13014,213
DB13421,213
DB13751,213
DB13909,213
DB13928,213
DB13943,213
DB13944,213
DB13946,213
DB13952,213
DB13953,213
DB13954,213
DB13955,213
DB13956,213
DB14126,213
DB14185,213
DB14481,213
DB14513,213
DB14517,213
DB14518,213
DB14533,213
DB14631,213
DB14649,213
DB14669,213
DB14840,213
DB14879,213
DB15305,213
DB15444,213
DB15534,213
DB15566,213
DB15690,213
DB00162,116362
DB00252,6906
DB00279,6906
DB00322,6906
DB00451,6906
DB00532,6906
DB00544,6906
DB00627,6906
DB00636,6906
DB00648,6906
DB00675,6906
DB00695,6906
DB00754,6906
DB00939,6906
DB01219,6906
DB01320,6906
DB01452,6906
DB01583,6906
DB01629,6906
DB08899,6906
DB08984,6906
DB09256,6906
DB11100,6906
DB12425,6906
DB13396,6906
DB13751,8644
DB13751,1646
DB09140,3043
DB00163,7274
DB02080,7274
DB14001,7274
DB14002,7274
DB00162,83758
DB06755,83758
DB00294,6462
DB00304,6462
DB00624,6462
DB00648,6462
DB00717,6462
DB00741,6462
DB00783,6462
DB00858,6462
DB00957,6462
DB00977,6462
DB01026,6462
DB01185,6462
DB01406,6462
DB01420,6462
DB02342,6462
DB02901,6462
DB03882,6462
DB03926,6462
DB04574,6462
DB06412,6462
DB06710,6462
DB09124,6462
DB13943,6462
DB13944,6462
DB13946,6462
DB13951,6462
DB13952,6462
DB13953,6462
DB13954,6462
DB13955,6462
DB13956,6462
DB14538,6462
DB14539,6462
DB14540,6462
DB14541,6462
DB14542,6462
DB14543,6462
DB14544,6462
DB15690,6462
DB00289,2209
DB09479,476
DB00523,1382
DB08127,1382
DB08455,1382
DB08467,1382
DB00162,6017
DB06796,2
DB09130,2
DB00243,5004
DB00246,5004
DB00280,5004
DB00317,5004
DB00321,5004
DB00333,5004
DB00334,5004
DB00343,5004
DB00454,5004
DB00457,5004
DB00458,5004
DB00472,5004
DB00481,5004
DB00490,5004
DB00503,5004
DB00530,5004
DB00540,5004
DB00543,5004
DB00571,5004
DB00619,5004
DB00661,5004
DB00682,5004
DB00706,5004
DB00731,5004
DB00734,5004
DB00802,5004
DB00864,5004
DB00908,5004
DB00934,5004
DB00946,5004
DB01062,5004
DB01126,5004
DB01142,5004
DB01151,5004
DB01156,5004
DB01190,5004
DB01232,5004
DB01233,5004
DB01264,5004
DB01359,5004
DB01418,5004
DB01426,5004
DB01429,5004
DB01601,5004
DB01685,5004
DB04821,5004
DB05294,5004
DB05521,5004
DB05812,5004
DB08820,5004
DB08828,5004
DB08860,5004
DB08867,5004
DB08881,5004
DB08893,5004
DB08907,5004
DB08931,5004
DB09204,5004
DB09229,5004
DB09236,5004
DB11148,5004
DB11575,5004
DB11637,5004
DB11642,5004
DB11853,5004
DB12674,5004
DB12978,5004
DB14007,5265
DB11182,4057
DB00588,10599
DB08906,10599
DB13867,10599
DB08906,5243
DB09160,5243
DB13867,5243
